,title,vote_count,vote_average,genres,popularity,imdb_id
315,Shallow Grave,247.0,7.0,"['Crime', 'Thriller']",8.223025999999999,tt0111149
318,Swimming with Sharks,104.0,6.7,"['Crime', 'Comedy']",5.869261,tt0114594
321,To Live,62.0,7.7,"['Drama', 'Romance', 'War']",5.2606269999999995,tt0110081
322,Tank Girl,140.0,5.5,"['Action', 'Comedy', 'Fantasy', 'Science Fiction']",7.602086999999999,tt0114614
323,Tales from the Crypt: Demon Knight,96.0,6.7,"['Horror', 'Comedy', 'Thriller']",9.455342,tt0114608
324,Star Trek: Generations,461.0,6.4,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",8.105708,tt0111280
327,Village of the Damned,165.0,5.6,"['Thriller', 'Horror', 'Science Fiction']",6.529879,tt0114852
328,Tommy Boy,321.0,6.8,['Comedy'],11.971318,tt0114694
332,What's Eating Gilbert Grape,943.0,7.5,"['Romance', 'Drama']",10.3919,tt0108550
333,Virtuosity,163.0,5.4,"['Action', 'Crime', 'Science Fiction', 'Thriller']",5.1883989999999995,tt0114857
334,While You Were Sleeping,340.0,6.5,"['Comedy', 'Drama', 'Romance']",15.783615,tt0114924
337,Muriel's Wedding,104.0,6.9,"['Drama', 'Comedy', 'Romance']",5.254847,tt0110598
339,Ace Ventura: Pet Detective,1684.0,6.4,"['Comedy', 'Mystery']",11.247957000000001,tt0109040
340,"The Adventures of Priscilla, Queen of the Desert",174.0,7.2,"['Drama', 'Comedy']",8.328596000000001,tt0109045
342,Bitter Moon,115.0,7.0,"['Thriller', 'Drama', 'Romance']",11.298195,tt0104779
343,Bullets Over Broadway,130.0,7.0,"['Action', 'Comedy', 'Thriller']",5.72288,tt0109348
344,Clear and Present Danger,390.0,6.4,"['Action', 'Drama', 'Thriller']",7.5132449999999995,tt0109444
345,The Client,287.0,6.4,"['Drama', 'Thriller', 'Crime', 'Mystery']",15.263829000000001,tt0109446
346,"Corrina, Corrina",83.0,6.4,"['Comedy', 'Drama', 'Family', 'Romance']",6.924689,tt0109484
348,The Crow,980.0,7.3,"['Fantasy', 'Action', 'Thriller']",15.799335999999998,tt0109506
350,The Flintstones,559.0,5.0,"['Fantasy', 'Comedy', 'Family']",15.019585999999999,tt0109813
351,Forrest Gump,8147.0,8.2,"['Comedy', 'Drama', 'Romance']",48.307194,tt0109830
352,Four Weddings and a Funeral,654.0,6.6,"['Comedy', 'Drama', 'Romance']",8.990345,tt0109831
356,It Could Happen to You,154.0,6.1,"['Comedy', 'Drama', 'Romance']",11.272072999999999,tt0110167
357,The Jungle Book,107.0,5.9,"['Adventure', 'Drama', 'Family']",10.714235,tt0110213
359,The Lion King,5520.0,8.0,"['Family', 'Animation', 'Drama']",21.605760999999998,tt0110357
360,Little Buddha,76.0,6.0,"['Drama', 'History']",5.681522,tt0107426
361,New Nightmare,297.0,6.4,"['Horror', 'Thriller', 'Mystery', 'Fantasy']",9.860522,tt0111686
362,The Mask,2550.0,6.6,"['Romance', 'Comedy', 'Crime', 'Fantasy']",14.134879999999999,tt0110475
363,Maverick,490.0,6.6,"['Action', 'Adventure', 'Comedy', 'Drama', 'Western']",15.050326,tt0110478
365,The Naked Gun 33⅓: The Final Insult,535.0,6.4,"['Comedy', 'Crime']",10.587232,tt0110622
367,Reality Bites,180.0,6.5,['Drama'],6.5145919999999995,tt0110950
368,Red Rock West,71.0,6.4,"['Crime', 'Drama', 'Thriller']",5.137903,tt0105226
369,Ri¢hie Ri¢h,426.0,5.4,"['Comedy', 'Family']",6.595255,tt0110989
371,The River Wild,214.0,6.1,"['Action', 'Adventure', 'Crime', 'Thriller']",10.511241,tt0110997
372,Speed,1814.0,6.8,"['Action', 'Adventure', 'Crime']",10.859292,tt0111257
374,Timecop,288.0,5.5,"['Thriller', 'Science Fiction', 'Action', 'Crime']",8.907074,tt0111438
375,True Lies,1138.0,6.8,"['Action', 'Thriller']",11.396099000000001,tt0111503
376,When a Man Loves a Woman,71.0,6.0,"['Drama', 'Romance']",4.322544000000001,tt0111693
377,Wolf,221.0,6.0,['Fantasy'],14.063845,tt0111742
378,Wyatt Earp,203.0,6.5,"['Drama', 'Action', 'Western']",9.277147,tt0111756
385,"Faster, Pussycat! Kill! Kill!",59.0,6.5,"['Action', 'Crime']",4.220541000000001,tt0059170
388,Street Fighter,330.0,4.1,"['Action', 'Adventure', 'Thriller']",13.584489999999999,tt0111301
400,Highlander: The Final Dimension,110.0,4.5,"['Action', 'Fantasy', 'Science Fiction']",6.8666339999999995,tt0110027
402,In the Mouth of Madness,307.0,7.1,"['Horror', 'Mystery', 'Thriller']",8.497643,tt0113409
405,Addams Family Values,537.0,6.5,"['Comedy', 'Family', 'Fantasy']",17.555909,tt0106220
407,The Age of Innocence,172.0,7.0,"['Drama', 'Romance']",8.013617,tt0106226
408,Airheads,222.0,5.8,"['Comedy', 'Crime', 'Music']",7.09232,tt0109068
410,Another Stakeout,58.0,4.9,"['Action', 'Comedy']",12.967239,tt0106292
411,Bad Girls,61.0,4.6,"['Action', 'Adventure', 'Comedy', 'Drama', 'Western']",14.644772,tt0109198
414,The Beverly Hillbillies,86.0,5.0,['Comedy'],5.673735,tt0106400
415,Beverly Hills Cop III,445.0,5.5,"['Action', 'Comedy', 'Crime']",11.787784,tt0109254
416,Black Beauty,68.0,6.6,"['Action', 'Adventure', 'Drama', 'Family']",8.398845,tt0109279
418,Blown Away,126.0,6.0,"['Drama', 'Action', 'Thriller']",13.155071,tt0109303
421,Body Snatchers,102.0,5.8,"['Horror', 'Science Fiction', 'Thriller']",6.559692999999999,tt0106452
422,Boxing Helena,59.0,4.5,"['Drama', 'Romance']",4.304224,tt0106471
423,A Bronx Tale,447.0,7.4,"['Drama', 'Crime']",6.115628,tt0106489
426,Carlito's Way,805.0,7.7,"['Action', 'Crime', 'Drama', 'Thriller']",8.698509,tt0106519
427,City Slickers II: The Legend of Curly's Gold,103.0,4.9,"['Action', 'Comedy', 'Drama', 'Western']",8.605703,tt0109439
429,Cliffhanger,600.0,6.1,"['Action', 'Adventure', 'Thriller']",9.830853,tt0106582
430,Coneheads,228.0,4.8,"['Comedy', 'Science Fiction', 'Family']",10.722729,tt0106598
431,Color of Night,117.0,5.4,"['Drama', 'Mystery', 'Romance', 'Thriller']",14.228963,tt0109456
435,Dave,205.0,6.3,['Comedy'],13.696394,tt0106673
436,Dazed and Confused,588.0,7.4,"['Comedy', 'Drama']",6.8652,tt0106677
437,Demolition Man,1018.0,6.4,"['Crime', 'Action', 'Science Fiction']",11.626116,tt0106697
441,Farewell My Concubine,98.0,7.8,['Drama'],4.875826999999999,tt0106332
443,Fearless,80.0,6.8,['Drama'],9.284624,tt0106881
445,With Honors,54.0,6.1,"['Comedy', 'Drama']",2.969003,tt0111732
448,For Love or Money,77.0,5.7,"['Comedy', 'Romance']",8.468869,tt0106941
449,The Firm,513.0,6.6,"['Drama', 'Mystery', 'Thriller']",9.678367,tt0106918
450,Free Willy,429.0,6.0,"['Family', 'Adventure']",5.990572,tt0106965
451,Fresh,56.0,7.6,"['Crime', 'Drama', 'Thriller']",3.970215,tt0109842
452,The Fugitive,1240.0,7.2,"['Adventure', 'Action', 'Thriller', 'Crime', 'Mystery']",10.089369999999999,tt0106977
454,The Getaway,81.0,5.4,"['Drama', 'Action', 'Thriller']",14.214402999999999,tt0109890
459,Hard Target,237.0,6.1,"['Action', 'Adventure', 'Crime', 'Thriller']",7.834351,tt0107076
460,Heaven & Earth,51.0,6.4,"['History', 'War', 'Action', 'Drama']",4.1905410000000005,tt0107096
461,Hot Shots! Part Deux,463.0,6.2,"['Action', 'Comedy', 'War']",13.482370999999999,tt0107144
463,The Englishman Who Went Up a Hill But Came Down a Mountain,83.0,6.1,"['Drama', 'Comedy', 'Romance']",5.331753,tt0112966
464,The House of the Spirits,135.0,6.7,"['Romance', 'Drama']",10.687795,tt0107151
466,The Hudsucker Proxy,280.0,7.1,"['Comedy', 'Drama']",7.550545,tt0110074
468,In the Army Now,54.0,4.7,['Comedy'],6.071466,tt0110123
469,In the Line of Fire,392.0,6.8,"['Action', 'Drama', 'Thriller', 'Crime', 'Mystery']",12.637158,tt0107206
470,In the Name of the Father,363.0,7.6,['Drama'],7.405895,tt0107207
472,What's Love Got to Do with It,75.0,6.9,"['Drama', 'Music']",14.820882999999998,tt0108551
474,Judgment Night,79.0,6.4,"['Action', 'Thriller', 'Crime']",5.538671,tt0107286
475,Jurassic Park,4956.0,7.6,"['Adventure', 'Science Fiction']",8.863776,tt0107290
476,Kalifornia,209.0,6.5,"['Thriller', 'Crime']",8.4337,tt0107302
477,Killing Zoe,111.0,6.1,"['Action', 'Crime', 'Drama', 'Thriller']",4.948569,tt0110265
479,Lassie,54.0,6.1,"['Action', 'Adventure', 'Drama', 'Family']",3.645342,tt0110305
480,Last Action Hero,725.0,6.1,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']",9.434006,tt0107362
484,Made in America,86.0,5.3,['Comedy'],5.43085,tt0107478
485,Malice,105.0,5.9,"['Drama', 'Crime']",9.861672,tt0107497
486,The Man without a Face,125.0,6.2,['Drama'],5.997712,tt0107501
487,Manhattan Murder Mystery,169.0,7.1,"['Comedy', 'Mystery']",8.939404,tt0107507
488,Menace II Society,179.0,7.2,"['Drama', 'Action', 'Crime']",5.260924,tt0107554
489,Executive Decision,261.0,5.8,"['Action', 'Adventure', 'Drama', 'Thriller']",13.106291,tt0116253
490,In the Realm of the Senses,112.0,6.5,"['Drama', 'Romance']",8.932494,tt0074102
492,Much Ado About Nothing,194.0,7.2,"['Drama', 'Comedy', 'Romance']",8.627239999999999,tt0107616
495,Mrs. Doubtfire,1638.0,7.0,"['Comedy', 'Drama', 'Family']",11.16553,tt0107614
496,Naked,105.0,7.5,"['Comedy', 'Drama']",8.665198,tt0107653
497,The Next Karate Kid,202.0,4.8,['Adventure'],9.9697,tt0110657
499,No Escape,86.0,6.1,"['Action', 'Drama', 'Science Fiction', 'Thriller']",9.715187,tt0110678
500,North,67.0,4.8,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Science Fiction']",15.534707000000001,tt0110687
501,Orlando,53.0,6.7,"['Romance', 'Drama', 'Fantasy']",3.800785,tt0107756
502,A Perfect World,376.0,7.2,"['Crime', 'Drama', 'Thriller']",8.040589,tt0107808
503,Philadelphia,1019.0,7.6,['Drama'],13.373006,tt0107818
504,The Piano,290.0,7.1,"['Drama', 'Romance']",7.436758,tt0107822
509,The Ref,99.0,6.7,['Comedy'],5.868677,tt0110955
510,The Remains of the Day,213.0,7.5,"['Drama', 'Romance']",12.222576,tt0107943
511,Renaissance Man,83.0,5.9,"['Comedy', 'War']",4.985157,tt0110971
512,Rising Sun,188.0,5.8,"['Action', 'Drama', 'Thriller']",6.279082,tt0107969
514,RoboCop 3,309.0,4.2,"['Action', 'Adventure', 'Crime', 'Science Fiction', 'Thriller']",8.685798,tt0107978
515,Robin Hood: Men in Tights,575.0,6.4,['Comedy'],17.136672,tt0107977
517,Romper Stomper,126.0,6.6,"['Action', 'Drama', 'Thriller']",5.157926,tt0105275
519,Rudy,187.0,7.2,['Drama'],5.914833,tt0108002
522,Schindler's List,4436.0,8.3,"['Drama', 'History', 'War']",41.725122999999996,tt0108052
524,Searching for Bobby Fischer,100.0,7.3,['Drama'],12.048587,tt0108065
526,The Secret Garden,232.0,7.1,"['Drama', 'Family', 'Fantasy']",6.499523,tt0108071
527,Serial Mom,137.0,6.4,"['Comedy', 'Crime', 'Horror', 'Thriller']",5.305311,tt0111127
528,The Shadow,140.0,5.4,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']",7.881107000000001,tt0111143
